QUESTION,ANSWER_CHOICES,ANSWERS,EXPLANATIONS
Which EC2 API call would you use to retrieve a list of Amazon Machine Images (AMIs)?,"[""DescribeInstances."", ""DescribeAMIs."", ""DescribeImages."", ""GetAMIs."", ""You cannot retrieve a list of AMIs as there are over 10,000 AMIs.""]","[""DescribeImages.""]","```json
{
    ""DescribeInstances."": ""This choice is incorrect because DescribeInstances is an EC2 API call used to retrieve information about EC2 instances, not AMIs. It provides details such as instance state, type, and tags, but does not pertain to AMIs."",
    ""DescribeAMIs."": ""This choice is incorrect because there is no EC2 API call named DescribeAMIs. The correct API call to retrieve AMI information is DescribeImages. This choice may be a common misconception due to the naming convention."",
    ""DescribeImages."": ""This choice is correct because DescribeImages is the EC2 API call used to retrieve information about AMIs. It allows you to list AMIs available to your account, including public, private, and shared AMIs. This is a key function for managing and deploying instances using specific AMIs."",
    ""GetAMIs."": ""This choice is incorrect because there is no EC2 API call named GetAMIs. The correct API call for retrieving AMI information is DescribeImages. This choice may reflect a misunderstanding of the correct API naming conventions."",
    ""You cannot retrieve a list of AMIs as there are over 10,000 AMIs."": ""This choice is incorrect because it is a misconception. Despite the large number of AMIs, AWS provides the DescribeImages API call to list and filter AMIs based on various criteria such as owner, platform, and architecture. AWS services are designed to handle large datasets efficiently.""
}
```"
"In AWS, which security aspects are the customer's responsibility? (Choose FOUR)","[""Life-cycle management of IAM credentials."", ""Decommissioning storage devices."", ""Security Group and ACL (Access Control List) settings."", ""Encryption of EBS (Elastic Block Storage) volumes."", ""Controlling physical access to compute resources."", ""Patch management on the EC2 instance's operating system.""]","[""Life-cycle management of IAM credentials."", ""Security Group and ACL (Access Control List) settings."", ""Encryption of EBS (Elastic Block Storage) volumes."", ""Patch management on the EC2 instance's operating system.""]","```json
{
    ""Life-cycle management of IAM credentials."": ""This is correct because AWS Identity and Access Management (IAM) is a service that helps you securely control access to AWS services and resources. Customers are responsible for managing the lifecycle of IAM credentials, including creating, rotating, and deleting them as needed. This is part of the shared responsibility model where AWS manages the infrastructure security, and customers manage their data and access control."",
    ""Decommissioning storage devices."": ""This is incorrect because AWS is responsible for the decommissioning of storage devices. AWS follows strict procedures to ensure that data is securely erased from storage devices before they are reused or disposed of, as part of their compliance with various security standards."",
    ""Security Group and ACL (Access Control List) settings."": ""This is correct because configuring Security Groups and Network ACLs is part of the customer's responsibility. Security Groups act as a virtual firewall for your instance to control inbound and outbound traffic, and Network ACLs provide an additional layer of security at the subnet level. Customers must configure these settings to ensure their resources are protected according to their security requirements."",
    ""Encryption of EBS (Elastic Block Storage) volumes."": ""This is correct because while AWS provides the tools and services to encrypt data at rest and in transit, it is the customer's responsibility to enable and manage encryption for EBS volumes. Customers can use AWS Key Management Service (KMS) to manage the encryption keys."",
    ""Controlling physical access to compute resources."": ""This is incorrect because AWS is responsible for the physical security of the infrastructure that runs all of the services offered in the AWS Cloud. This includes controlling physical access to the data centers where compute resources are housed."",
    ""Patch management on the EC2 instance's operating system."": ""This is correct because customers are responsible for managing the operating system on their EC2 instances, including applying security patches and updates. AWS provides tools like AWS Systems Manager to help automate patch management, but the responsibility lies with the customer.""
}
```"
"When using a large Scan operation in DynamoDB, what technique can be used to minimize the impact of a scan on a table's provisioned throughput?","[""Set a smaller page size for the scan."", ""Use parallel scans."", ""Define a range index on the table."", ""Prewarm the table by updating all items.""]","[""Set a smaller page size for the scan.""]","{""Set a smaller page size for the scan."": ""This choice is correct. By setting a smaller page size, you reduce the amount of data read in a single request, which in turn reduces the impact on the table's provisioned throughput. DynamoDB allows you to control the number of items returned per request, which can help manage the read capacity units consumed during a scan operation. This is a recommended practice when you want to minimize the disruption to other operations on the table."", ""Use parallel scans."": ""This choice is incorrect in the context of minimizing impact on provisioned throughput. Parallel scans are used to increase the speed of a scan by dividing the table into segments and scanning each segment in parallel. While this speeds up the scan, it can increase the impact on provisioned throughput because it consumes more read capacity units simultaneously."", ""Define a range index on the table."": ""This choice is incorrect. Defining a range index (or sort key) is related to how data is organized and queried in DynamoDB, but it does not directly affect the impact of a scan operation on provisioned throughput. Scans read every item in the table, regardless of indexes, so adding a range index does not reduce the throughput impact of a scan."", ""Prewarm the table by updating all items."": ""This choice is incorrect. Prewarming a table by updating all items is not a recognized technique for managing scan operations in DynamoDB. Updating all items would actually increase the write throughput usage and could lead to additional costs and performance issues. It does not address the impact of a scan on read throughput.""}"
How can you secure data at rest on an EBS volume?,"[""Attach the volume to an instance using EC2's SSL interface."", ""Write the data randomly instead of sequentially."", ""Use an encrypted file system on top of the EBS volume."", ""Encrypt the volume using the S3 server-side encryption service."", ""Encrypt the volume using the S3 server-side encryption service.""]","[""Use an encrypted file system on top of the EBS volume.""]","```json
{
    ""Attach the volume to an instance using EC2's SSL interface."": ""This choice is incorrect because SSL (Secure Sockets Layer) is a protocol for encrypting data in transit, not at rest. EBS volumes require encryption at the storage level, not just during data transfer."",
    ""Write the data randomly instead of sequentially."": ""This choice is incorrect because the order in which data is written does not inherently provide security or encryption. Data security at rest requires encryption, not just a change in write patterns."",
    ""Use an encrypted file system on top of the EBS volume."": ""This choice is correct because using an encrypted file system, such as Amazon EFS with encryption enabled, provides a layer of encryption for data at rest on an EBS volume. This ensures that data is encrypted when stored, adhering to AWS best practices for securing data at rest."",
    ""Encrypt the volume using the S3 server-side encryption service."": ""This choice is incorrect because S3 server-side encryption is specific to Amazon S3, not EBS volumes. EBS volumes have their own encryption mechanisms, such as AWS KMS (Key Management Service) for encrypting data at rest."",
    ""Encrypt the volume using the S3 server-side encryption service."": ""This choice is incorrect for the same reason as the previous one. S3 server-side encryption is not applicable to EBS volumes. EBS volumes should be encrypted using their own encryption options, such as AWS KMS.""
}
```"
Which of the following is chosen as the default region when making an API call with an AWS SDK?,"[""ap-northeast-1."", ""us-west-2."", ""us-east-1."", ""eu-west-1."", ""us-central-1.""]","[""us-east-1.""]","```json
{
    ""ap-northeast-1."": ""This is incorrect because ap-northeast-1 is not the default region for AWS SDK API calls. The default region is us-east-1, which is the first region AWS launched and is often used as the default due to its historical significance and widespread use."",
    ""us-west-2."": ""This is incorrect because us-west-2 is not the default region for AWS SDK API calls. Although it is a popular region for deploying applications due to its location and availability, it is not set as the default in the AWS SDKs."",
    ""us-east-1."": ""This is correct because us-east-1 is the default region for AWS SDK API calls. This region, located in Northern Virginia, was the first AWS region and is often used as the default due to its central role in AWS's infrastructure and its extensive service offerings. AWS documentation and SDKs typically default to us-east-1 unless specified otherwise."",
    ""eu-west-1."": ""This is incorrect because eu-west-1 is not the default region for AWS SDK API calls. While it is a commonly used region in Europe, particularly for applications targeting European users, it is not the default setting in AWS SDKs."",
    ""us-central-1."": ""This is incorrect because us-central-1 is not a valid AWS region. AWS regions are typically named with a format that includes a geographic area and a number, such as us-east-1 or eu-west-1. There is no us-central-1 region in AWS.""
}
```"
Which of the following statements about SWF are true? (Choose THREE),"[""SWF tasks are assigned once and never duplicated."", ""SWF requires an S3 bucket for workflow storage."", ""SWF workflow executions can last up to a year."", ""SWF triggers SNS notifications on task assignment."", ""SWF uses deciders and workers to complete tasks."", ""SWF requires at least 1 EC2 instance per domain.""]","[""SWF tasks are assigned once and never duplicated."", ""SWF workflow executions can last up to a year."", ""SWF uses deciders and workers to complete tasks.""]","```json
{
    ""SWF tasks are assigned once and never duplicated."": ""This statement is correct. In Amazon SWF (Simple Workflow Service), tasks are assigned to a single worker at a time and are not duplicated. This ensures that each task is processed exactly once, which is crucial for maintaining the integrity and consistency of workflows. This behavior is part of SWF's design to manage distributed application components and ensure reliable task execution."",
    ""SWF requires an S3 bucket for workflow storage."": ""This statement is incorrect. Amazon SWF does not require an S3 bucket for workflow storage. SWF is a fully managed service that coordinates tasks across distributed application components. It handles the storage of workflow state and history internally, without the need for external storage like S3."",
    ""SWF workflow executions can last up to a year."": ""This statement is correct. Amazon SWF supports long-running workflows, and workflow executions can last up to a year. This is suitable for applications that require long-duration processes, such as order processing or complex business operations that span extended periods."",
    ""SWF triggers SNS notifications on task assignment."": ""This statement is incorrect. Amazon SWF does not natively trigger SNS notifications on task assignment. While SNS can be integrated with SWF for notifications, it is not a built-in feature of SWF to automatically send notifications upon task assignment. SWF focuses on task coordination and execution."",
    ""SWF uses deciders and workers to complete tasks."": ""This statement is correct. In Amazon SWF, deciders and workers are key components. Deciders are responsible for controlling the flow of activity tasks in a workflow execution, while workers perform the actual tasks. This division of roles allows for flexible and scalable workflow management."",
    ""SWF requires at least 1 EC2 instance per domain."": ""This statement is incorrect. Amazon SWF does not require a specific number of EC2 instances per domain. SWF is a managed service that does not impose infrastructure requirements on the user. The number of EC2 instances needed depends on the application's specific requirements and workload, not on SWF itself.""
}
```"
"A startup s photo-sharing site is deployed in a VPC. An ELB distributes web traffic across two subnets. ELB session stickiness is configured to use the AWSgenerated session cookie, with a session TTL of 5 minutes. The webserver Auto Scaling Group is configured as: min-size=4, max-size=4, The startups preparing for a public launch, by running load-testing software installed on a single EC2 instance running in us-west-2 After 60 minutes of load-testing, the webserver logs show: Which recommendations can help ensure load-testing HTTP requests are evenly distributed across the four webservers? (Choose TWO)","[""Launch and run the load-tester EC2 instance from us-east-1 instead."", ""Re-configure the load-testing software to re-resolve DNS for each web request."", ""Use a 3rd-party load-testing service which offers globally-distributed test clients."", ""Configure ELB and Auto Scaling to distribute across us-west-2a and us-west-2c."", ""Configure ELB session stickiness to use the app-specific session cookie.""]","[""Re-configure the load-testing software to re-resolve DNS for each web request."", ""Use a 3rd-party load-testing service which offers globally-distributed test clients.""]","```json
{
    ""Launch and run the load-tester EC2 instance from us-east-1 instead."": ""This choice is incorrect because launching the load-tester in a different region (us-east-1) does not address the issue of uneven load distribution across the web servers. The problem is related to DNS resolution and session stickiness, not the geographical location of the load tester."",
    ""Re-configure the load-testing software to re-resolve DNS for each web request."": ""This choice is correct because ELB uses DNS to distribute traffic. If the load-testing software caches the DNS resolution, it may repeatedly send requests to the same IP address, causing uneven distribution. By re-resolving DNS for each request, the load tester can ensure that requests are distributed more evenly across all available instances behind the ELB."",
    ""Use a 3rd-party load-testing service which offers globally-distributed test clients."": ""This choice is correct because using a globally-distributed load-testing service can simulate real-world traffic patterns more accurately. It helps in distributing the load across multiple instances by originating requests from different locations, which can lead to better testing of the ELB's ability to balance traffic."",
    ""Configure ELB and Auto Scaling to distribute across us-west-2a and us-west-2c."": ""This choice is incorrect because the question already states that the ELB distributes traffic across two subnets. The issue is not related to the distribution across availability zones but rather the DNS resolution and session stickiness affecting load distribution."",
    ""Configure ELB session stickiness to use the app-specific session cookie."": ""This choice is incorrect because changing the session stickiness to use an app-specific cookie does not resolve the issue of uneven load distribution caused by DNS caching. The session stickiness configuration is not the primary cause of the problem described.""
}
```"
Which of the following are valid SNS delivery transports? (Choose TWO),"[""HTTP."", ""UDP."", ""SMS."", ""DynamoDB."", ""Named Pipes.""]","[""HTTP."", ""SMS.""]","```json
{
    ""HTTP."": ""HTTP is a valid delivery transport for Amazon SNS. SNS can send notifications to HTTP/HTTPS endpoints, making it suitable for web applications that need to receive real-time notifications. This is supported by AWS documentation and is a common use case for integrating SNS with web services."",
    ""UDP."": ""UDP is not a valid delivery transport for Amazon SNS. SNS does not support UDP because it is a connectionless protocol and does not guarantee message delivery, which is contrary to the reliable message delivery that SNS aims to provide."",
    ""SMS."": ""SMS is a valid delivery transport for Amazon SNS. SNS can send notifications via SMS to mobile devices, which is useful for alerting users directly on their phones. This is a documented feature of SNS and is often used for sending critical alerts or notifications."",
    ""DynamoDB."": ""DynamoDB is not a valid delivery transport for Amazon SNS. DynamoDB is a NoSQL database service and is not used as a transport mechanism for SNS messages. SNS is designed to send notifications to endpoints like HTTP, email, and SMS, not to databases."",
    ""Named Pipes."": ""Named Pipes are not a valid delivery transport for Amazon SNS. Named Pipes are a method for inter-process communication on the same machine, which is not applicable to the cloud-based, distributed nature of SNS notifications.""
}
```"
"Company C has recently launched an online commerce site for bicycles on AWS. They have a `Product` DynamoDB table that stores details for each bicycle, such as, manufacturer, color, price, quantity and size to display in the online store. Due to customer demand, they want to include an image for each bicycle along with the existing details. Which approach below provides the least impact to provisioned throughput on the `Product` table?","[""Serialize the image and store it in multiple DynamoDB tables."", ""Create an `Images` DynamoDB table to store the Image with a foreign key constraint to the `Product` table."", ""Add an image data type to the `Product` table to store the images in binary format."", ""Store the images in Amazon S3 and add an S3 URL pointer to the `Product` table item for each image.""]","[""Store the images in Amazon S3 and add an S3 URL pointer to the `Product` table item for each image.""]","```json
{
    ""Serialize the image and store it in multiple DynamoDB tables."": ""This approach is incorrect because storing images directly in DynamoDB, especially serialized across multiple tables, is inefficient and can significantly impact throughput. DynamoDB is optimized for small, fast-access items, and storing large binary data like images can lead to increased costs and reduced performance. This method does not align with AWS best practices for handling large objects."",
    ""Create an `Images` DynamoDB table to store the Image with a foreign key constraint to the `Product` table."": ""This choice is incorrect because DynamoDB does not support foreign key constraints. While you could create a separate table for images, storing large binary data in DynamoDB is not recommended due to potential throughput and cost issues. Additionally, managing relationships between tables in DynamoDB is complex and not natively supported."",
    ""Add an image data type to the `Product` table to store the images in binary format."": ""This option is incorrect because DynamoDB does not have a specific image data type, and storing images as binary data directly in the `Product` table can lead to increased costs and reduced performance. Large binary objects can quickly consume provisioned throughput and storage, which is not ideal for a high-performance application."",
    ""Store the images in Amazon S3 and add an S3 URL pointer to the `Product` table item for each image."": ""This is the correct approach because Amazon S3 is designed for storing large objects like images. By storing images in S3 and referencing them with URLs in the DynamoDB table, you minimize the impact on DynamoDB's provisioned throughput. This method is cost-effective, scalable, and aligns with AWS best practices for separating data storage concerns. S3 provides high durability and availability, making it ideal for storing static assets like images.""
}
```"
Which DynamoDB limits can be raised by contacting AWS support? (Choose TWO),"[""The number of hash keys per account."", ""The maximum storage used per account."", ""The number of tables per account."", ""The number of local secondary indexes per account."", ""The number of provisioned throughput units per account.""]","[""The number of tables per account."", ""The number of provisioned throughput units per account.""]","{""The number of hash keys per account."": ""This is incorrect because DynamoDB does not impose a limit on the number of hash keys per account. Each table can have a unique set of hash keys, and there is no account-level restriction on the number of hash keys."", ""The maximum storage used per account."": ""This is incorrect because DynamoDB automatically scales storage as needed. There is no fixed limit on the amount of data you can store in DynamoDB, and thus no need to request a limit increase for storage."", ""The number of tables per account."": ""This is correct because AWS imposes a default limit on the number of tables you can create per account. However, this limit can be increased by contacting AWS support, as documented in AWS service limits."", ""The number of local secondary indexes per account."": ""This is incorrect because the limit on local secondary indexes is per table, not per account. Each table can have up to 5 local secondary indexes, and this limit cannot be increased."", ""The number of provisioned throughput units per account."": ""This is correct because AWS sets default limits on the amount of provisioned throughput capacity you can request per account. These limits can be increased by contacting AWS support, allowing for higher throughput capacity as needed.""}"
"When a Simple Queue Service message triggers a task that takes 5 minutes to complete, which process below will result in successful processing of the message and remove it from the queue while minimizing the chances of duplicate processing?","[""Retrieve the message with an increased visibility timeout, process the message, delete the message from the queue."", ""Retrieve the message with an increased visibility timeout, delete the message from the queue, process the message."", ""Retrieve the message with increased DelaySeconds, process the message, delete the message from the queue."", ""Retrieve the message with increased DelaySeconds, delete the message from the queue, process the message.""]","[""Retrieve the message with an increased visibility timeout, process the message, delete the message from the queue.""]","{""Retrieve the message with an increased visibility timeout, process the message, delete the message from the queue."": ""This choice is correct because increasing the visibility timeout ensures that the message is not visible to other consumers while it is being processed, reducing the chance of duplicate processing. Processing the message before deleting it ensures that the task is completed successfully before the message is removed from the queue. This follows AWS best practices for handling messages in SQS, where the visibility timeout should be set to cover the processing time to prevent the message from becoming visible again and being processed by another consumer."", ""Retrieve the message with an increased visibility timeout, delete the message from the queue, process the message."": ""This choice is incorrect because deleting the message before processing it can lead to data loss if the processing fails. The message should only be deleted after successful processing to ensure reliability and fault tolerance. AWS best practices recommend processing the message first to confirm successful task completion before removing it from the queue."", ""Retrieve the message with increased DelaySeconds, process the message, delete the message from the queue."": ""This choice is incorrect because DelaySeconds is used to postpone the delivery of new messages to the queue, not to extend the processing time of a message already being processed. Increasing DelaySeconds does not affect the visibility timeout of a message that has already been received. Therefore, it does not help in preventing duplicate processing during long tasks."", ""Retrieve the message with increased DelaySeconds, delete the message from the queue, process the message."": ""This choice is incorrect for two reasons: first, DelaySeconds is not relevant to the processing of a message that has already been received, as it only affects the initial delay before a message becomes visible in the queue. Second, deleting the message before processing it can lead to data loss if the processing fails, which is against AWS best practices for ensuring reliable message processing.""}"
Company A has an S3 bucket containing premier content that they intend to make available to only paid subscribers of their website. The S3 bucket currently has default permissions of all objects being private to prevent inadvertent exposure of the premier content to non-paying website visitors. How can Company A provide only paid subscribers the ability to download a premier content file in the S3 bucket?,"[""Apply a bucket policy that grants anonymous users to download the content from the S3 bucket."", ""Generate a pre-signed object URL for the premier content file when a paid subscriber requests a download."", ""Add a bucket policy that requires Multi-Factor Authentication for requests to access the S3 bucket objects."", ""Enable server side encryption on the S3 bucket for data protection against the non-paying website visitors.""]","[""Generate a pre-signed object URL for the premier content file when a paid subscriber requests a download.""]","```json
{
    ""Apply a bucket policy that grants anonymous users to download the content from the S3 bucket."": ""This choice is incorrect because granting anonymous users access would make the content publicly accessible to anyone, not just paid subscribers. This goes against the requirement of restricting access to only paid subscribers. AWS best practices recommend using more secure methods to control access, such as IAM policies, bucket policies with specific conditions, or pre-signed URLs."",
    ""Generate a pre-signed object URL for the premier content file when a paid subscriber requests a download."": ""This choice is correct because pre-signed URLs allow you to grant time-limited access to specific S3 objects to users without making the objects publicly accessible. This method is ideal for providing temporary access to paid subscribers, as the URL can be generated dynamically and expire after a set duration, ensuring that only authorized users can download the content. This aligns with AWS best practices for securely sharing S3 objects."",
    ""Add a bucket policy that requires Multi-Factor Authentication for requests to access the S3 bucket objects."": ""This choice is incorrect because while MFA can add an extra layer of security, it does not directly address the requirement of providing access only to paid subscribers. MFA is typically used to secure access for IAM users rather than end-users accessing content through a web application. Additionally, implementing MFA for S3 access is more complex and not commonly used for this scenario."",
    ""Enable server side encryption on the S3 bucket for data protection against the non-paying website visitors."": ""This choice is incorrect because server-side encryption protects data at rest but does not control access to the data. Encryption ensures that data is stored securely, but it does not restrict who can download or access the data. Access control should be managed through bucket policies, IAM policies, or pre-signed URLs, not encryption alone.""
}
```"
Which of the following is an example of a good DynamoDB hash key schema for provisioned throughput efficiency?,"[""User ID, where the application has many different users."", ""Status Code where most status codes are the same."", ""Device ID, where one is by far more popular than all the others."", ""Game Type, where there are three possible game types.""]","[""User ID, where the application has many different users.""]","{""User ID, where the application has many different users."": ""This choice is correct because using a User ID as a hash key in DynamoDB is a good practice when the application has many different users. This ensures a wide distribution of requests across partitions, which is crucial for provisioned throughput efficiency. DynamoDB partitions data based on the hash key, and having a large number of unique hash keys helps evenly distribute the workload, preventing any single partition from becoming a bottleneck. This aligns with AWS best practices for designing scalable and efficient DynamoDB tables."", ""Status Code where most status codes are the same."": ""This choice is incorrect because using a Status Code as a hash key, where most status codes are the same, leads to uneven distribution of data across partitions. If most of the data is associated with a few status codes, it can cause hot partitions, where some partitions receive a disproportionate amount of traffic. This can lead to throttling and inefficient use of provisioned throughput, which is against AWS best practices for DynamoDB."", ""Device ID, where one is by far more popular than all the others."": ""This choice is incorrect because using a Device ID as a hash key, where one device is significantly more popular, can result in a hot partition. This means that the partition containing the popular Device ID will receive a much higher volume of requests compared to others, leading to throttling and inefficient use of provisioned throughput. AWS recommends designing hash keys that ensure even distribution of traffic across partitions."", ""Game Type, where there are three possible game types."": ""This choice is incorrect because using Game Type as a hash key with only three possible values will lead to a very limited distribution of data across partitions. With such a small number of unique hash keys, it's likely that the workload will not be evenly distributed, causing some partitions to become hot and others underutilized. This violates AWS best practices for DynamoDB, which emphasize the importance of having a high cardinality hash key to ensure efficient throughput distribution.""}"
"An application stores payroll information nightly in DynamoDB for a large number of employees across hundreds of offices. Item attributes consist of individual name, office identifier, and cumulative daily hours. Managers run reports for ranges of names working in their office. One query is: `Return all Items in this office for names starting with A through E`. Which table configuration will result in the lowest impact on provisioned throughput for this query?","[""Configure the table to have a hash index on the name attribute, and a range index on the office identifier."", ""Configure the table to have a range index on the name attribute, and a hash index on the office identifier."", ""Configure a hash index on the name attribute and no range index."", ""Configure a hash index on the office Identifier attribute and no range index.""]","[""Configure the table to have a range index on the name attribute, and a hash index on the office identifier.""]","```json
{
    ""Configure the table to have a hash index on the name attribute, and a range index on the office identifier."": ""This configuration is incorrect because it does not align with the query requirements. The query needs to filter by office identifier and then by a range of names. Using the name as the hash key would not allow efficient querying by office identifier first, which is essential for reducing the impact on provisioned throughput."",
    ""Configure the table to have a range index on the name attribute, and a hash index on the office identifier."": ""This configuration is correct because it uses the office identifier as the hash key, allowing efficient partitioning of data by office. The range key on the name attribute enables querying for a range of names (A through E) within a specific office. This setup minimizes the impact on provisioned throughput by ensuring that queries are targeted and efficient, as they only scan the necessary partitions."",
    ""Configure a hash index on the name attribute and no range index."": ""This configuration is incorrect because it does not support the query requirements effectively. Without a range index, it is not possible to efficiently query for a range of names within a specific office. The lack of a range index would result in scanning more data than necessary, increasing the impact on provisioned throughput."",
    ""Configure a hash index on the office Identifier attribute and no range index."": ""This configuration is incorrect because, while it allows partitioning by office identifier, it does not support querying for a range of names efficiently. Without a range index on the name attribute, the query would require scanning all items within an office, leading to higher throughput consumption.""
}
```"
What is one key difference between an Amazon EBS-backed and an instance-store backed instance?,"[""Virtual Private Cloud requires EBS backed instances."", ""Amazon EBS-backed instances can be stopped and restarted."", ""Auto scaling requires using Amazon EBS-backed instances."", ""Instance-store backed instances can be stopped and restarted.""]","[""Amazon EBS-backed instances can be stopped and restarted.""]","```json
{
    ""Virtual Private Cloud requires EBS backed instances."": ""This statement is incorrect. Virtual Private Cloud (VPC) is a networking service that allows you to launch AWS resources in a logically isolated virtual network. It does not require instances to be EBS-backed. Both EBS-backed and instance-store backed instances can be launched in a VPC."",
    ""Amazon EBS-backed instances can be stopped and restarted."": ""This statement is correct. One of the key advantages of Amazon EBS-backed instances is that they can be stopped and restarted without losing data stored on the EBS volume. This is because the root volume is stored on EBS, which is persistent storage. This feature is useful for maintenance tasks and cost savings when instances are not needed."",
    ""Auto scaling requires using Amazon EBS-backed instances."": ""This statement is incorrect. Auto Scaling can be used with both EBS-backed and instance-store backed instances. However, EBS-backed instances are often preferred due to their ability to be stopped and restarted, which provides more flexibility in scaling operations."",
    ""Instance-store backed instances can be stopped and restarted."": ""This statement is incorrect. Instance-store backed instances cannot be stopped and restarted. If an instance-store backed instance is stopped, the data on the instance store is lost. This is because the root volume is ephemeral and tied to the lifecycle of the instance.""
}
```"
Which of the following services are included at no additional cost with the use of the AWS platform?,"[""Simple Storage Service."", ""Elastic Compute Cloud."", ""Auto Scaling."", ""Elastic Load Balancing."", ""CloudFormation."", ""Simple Workflow Service.""]","[""Auto Scaling."", ""CloudFormation.""]","```json
{
    ""Simple Storage Service."": ""Amazon Simple Storage Service (S3) is a storage service that charges based on the amount of data stored, data transfer, and requests made. It is not included at no additional cost, as costs vary depending on usage. Therefore, this choice is incorrect."",
    ""Elastic Compute Cloud."": ""Amazon Elastic Compute Cloud (EC2) provides scalable computing capacity in the cloud and is charged based on the instance type, usage time, and other factors like data transfer. It is not included at no additional cost, making this choice incorrect."",
    ""Auto Scaling."": ""Auto Scaling is a service that automatically adjusts the number of EC2 instances in response to demand. While the service itself does not incur additional charges, the resources it manages (like EC2 instances) do incur costs. However, the management and scaling features are provided at no additional cost, which is why this choice is correct."",
    ""Elastic Load Balancing."": ""Elastic Load Balancing (ELB) automatically distributes incoming application traffic across multiple targets, such as EC2 instances. It incurs charges based on the number of load balancers and the amount of data processed. Therefore, this service is not included at no additional cost, making this choice incorrect."",
    ""CloudFormation."": ""AWS CloudFormation is a service that helps model and set up AWS resources so that you can spend less time managing those resources and more time focusing on your applications. CloudFormation itself does not incur additional charges, as you only pay for the resources created using the templates. This makes this choice correct."",
    ""Simple Workflow Service."": ""Amazon Simple Workflow Service (SWF) is a web service that makes it easy to coordinate work across distributed application components. It incurs charges based on the number of workflow executions, tasks, and other factors. Therefore, it is not included at no additional cost, making this choice incorrect.""
}
```"
Your application is trying to upload a 6 GB file to Simple Storage Service and receive a `Your proposed upload exceeds the maximum allowed object size.` error message. What is a possible solution for this?,"[""None, Simple Storage Service objects are limited to 5 GB."", ""Use the multi-part upload API for this object."", ""Use the large object upload API for this object."", ""Contact support to increase your object size limit."", ""Upload to a different region.""]","[""Use the multi-part upload API for this object.""]","```json
{
    ""None, Simple Storage Service objects are limited to 5 GB."": ""This choice is incorrect. While a single PUT operation to S3 is limited to 5 GB, S3 itself supports objects up to 5 TB in size. The error message indicates that the upload method used is not suitable for large files, not that S3 cannot store them."",
    ""Use the multi-part upload API for this object."": ""This choice is correct. AWS S3 supports multi-part uploads for objects larger than 5 GB. This method allows you to upload a single large object as a set of parts, which can be uploaded independently and in parallel, making it suitable for large files. This is a best practice for handling large uploads in S3."",
    ""Use the large object upload API for this object."": ""This choice is incorrect because there is no specific 'large object upload API' in AWS S3. The correct approach for large files is to use the multi-part upload API."",
    ""Contact support to increase your object size limit."": ""This choice is incorrect. The limitation is not due to a configurable account limit but rather the method of upload. S3 inherently supports objects up to 5 TB without needing support intervention, provided the correct upload method is used."",
    ""Upload to a different region."": ""This choice is incorrect. The issue is not related to the region but to the method of uploading the file. All AWS regions support the same object size limits for S3, so changing the region will not resolve the error.""
}
```"
What AWS products and features can be deployed by Elastic Beanstalk? (Choose THREE),"[""Auto scaling groups."", ""Route 53 hosted zones."", ""Elastic Load Balancers."", ""RDS Instances."", ""Elastic IP addresses."", ""SQS Queues.""]","[""Auto scaling groups."", ""Elastic Load Balancers."", ""RDS Instances.""]","```json
{
    ""Auto scaling groups."": ""Elastic Beanstalk automatically creates and manages auto scaling groups to handle the scaling of the application environment. This is a key feature of Elastic Beanstalk, allowing applications to automatically adjust capacity to maintain steady, predictable performance at the lowest possible cost."",
    ""Route 53 hosted zones."": ""Elastic Beanstalk does not directly manage Route 53 hosted zones. While you can use Route 53 with Elastic Beanstalk for DNS management, it is not a service that Elastic Beanstalk deploys or manages directly. Route 53 is a separate service that must be configured independently."",
    ""Elastic Load Balancers."": ""Elastic Beanstalk can deploy and manage Elastic Load Balancers as part of the environment configuration. This is crucial for distributing incoming application traffic across multiple targets, such as EC2 instances, to ensure high availability and fault tolerance."",
    ""RDS Instances."": ""Elastic Beanstalk can provision and manage Amazon RDS instances as part of the environment setup. This allows developers to easily integrate a managed database with their application, simplifying the process of setting up a database backend."",
    ""Elastic IP addresses."": ""Elastic Beanstalk does not directly manage Elastic IP addresses. While Elastic IPs can be associated with EC2 instances, Elastic Beanstalk manages the underlying infrastructure and does not expose direct control over Elastic IPs to the user."",
    ""SQS Queues."": ""Elastic Beanstalk does not directly deploy or manage SQS queues. While applications running on Elastic Beanstalk can use SQS for messaging, the setup and management of SQS queues are handled separately from Elastic Beanstalk.""
}
```"
